type,title,cast,date_added,rating,listed_in,country_parsed
1,887,6599,1,7,414,76
0,888,2983,1,8,176,76
0,889,86,1,4,176,76
1,890,4507,1,7,97,75
0,891,2062,1,3,117,76
0,892,1281,1,5,0,76
0,893,1702,1,3,130,76
1,894,4686,1,8,464,76
0,895,711,1,4,217,76
0,896,906,1,8,260,16
0,897,3451,1,9,123,76
0,898,871,1,8,268,19
0,899,5285,1,3,117,76
0,900,4683,1,5,272,75
0,901,872,1,8,260,76
0,902,874,1,8,448,76
0,903,874,1,2,448,76
0,904,874,1,8,448,76
0,905,874,1,8,448,76
0,906,874,1,8,448,76
0,907,880,1,8,448,75
0,908,881,1,8,260,48
0,909,880,1,8,448,75
0,910,880,1,8,448,75
0,911,880,1,8,448,76
1,912,887,1,6,449,76
0,913,888,1,9,260,76
0,914,2520,1,9,309,28
0,915,2669,1,5,302,75
0,916,901,1,9,262,76
1,917,900,1,6,371,76
0,918,3152,1,8,309,28
1,919,3945,1,8,397,21
0,920,4740,1,6,310,28
0,921,5734,1,8,23,72
0,922,5601,1,5,327,76
0,923,-1,1,7,266,76
0,924,4184,1,8,315,52
0,925,6334,1,8,200,9
0,926,2717,1,5,187,76
